"Название";"ID";"Просмотры";"Канал";"Исходное видео";"Миниатюра"
"Притон не заметил прихода ментов";"NjDlVVpKbjU";"2.3M";"Новости Шеремета Девять с половиной";"2ozKwlXEIgU";"https://i.ytimg.com/vi/NjDlVVpKbjU/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLALjPgkieAi0JLyiGDfkHbf-iudLw"
"Непосредственно  Каха - «МосКальян»";"7VAUMP7s-p0";"31M";"KTV";"2ozKwlXEIgU";"https://i.ytimg.com/vi/7VAUMP7s-p0/hqdefault.jpg?sqp=-oaymwFACKgBEF5IWvKriqkDMwgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAHwAQH4Af4JgALQBYoCDAgAEAEYZSBiKFQwDw==&rs=AOn4CLDD9wVCParsjOtAx0PBNjU7kA0ZOg"
"Наркотики. Молодость за решеткой. Документальный фильм";"6P1wNS_-kpQ";"3.4M";"Челябинский омбудсмен";"2ozKwlXEIgU";"https://i.ytimg.com/vi/6P1wNS_-kpQ/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLDoSs92nPBMKPdGXBqMyaENLUjIYA"
"Дед-наркобарон ссужал травкой весь посёлок.";"aH5TbOp1ogE";"307K";"Новости Шеремета Девять с половиной";"2ozKwlXEIgU";"https://i.ytimg.com/vi/aH5TbOp1ogE/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLCuQflrrozBvVs-5EhUR8ZR0Qr5XA"
"Наркоторговцев задержали в Хабаровске";"Kbiypgk09x0";"438K";"Сайт Хабаровска";"2ozKwlXEIgU";"https://i.ytimg.com/vi/Kbiypgk09x0/hqdefault.jpg?sqp=-oaymwFACKgBEF5IWvKriqkDMwgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAHwAQH4Af4JgALQBYoCDAgAEAEYZSBRKEcwDw==&rs=AOn4CLBnFFJEcB0seKtObnD3bwQd8F7CrA"
"Лолита и Ксю ""барыжили"" за 100 тыщ в день";"DkFMo_OXcwE";"2.6M";"Новости Шеремета Девять с половиной";"2ozKwlXEIgU";"https://i.ytimg.com/vi/DkFMo_OXcwE/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLDjgeU0QSMLPnUlShwrirMUleZdCQ"
"Prince William and Princess Kate Give Donald Trump Royal Welcome at Windsor";"tKS8HV8QpX8";"360K";"The Royal Family Channel";"2ozKwlXEIgU";"https://i.ytimg.com/vi/tKS8HV8QpX8/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLCmvoDWUZY3lw4_g-HJzIP_DpMkcQ"
"Притон из прошлого на Уралмаше.";"94OmA8H03Z8";"510K";"Новости Шеремета Девять с половиной";"2ozKwlXEIgU";"https://i.ytimg.com/vi/94OmA8H03Z8/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLD_rXAMXvJRzmlQKVQTgx_ds6DVag"
"Pageantry and politics: Watch the highlights from President Trump's second state visit | ITV News";"q8NoPlgE6vY";"91K";"ITV News";"2ozKwlXEIgU";"https://i.ytimg.com/vi/q8NoPlgE6vY/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLD8fiDHRlsbwIfg4vdIn2BB2L0XDw"
"Штурм наркопритона, г. Ногинск";"G6kIleWPSWU";"2.6M";"Харламов в Камбодже :))";"2ozKwlXEIgU";"https://i.ytimg.com/vi/G6kIleWPSWU/hqdefault.jpg?sqp=-oaymwFACKgBEF5IWvKriqkDMwgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAHwAQH4Af4JgALQBYoCDAgAEAEYSiBlKEkwDw==&rs=AOn4CLDmOha_ysywS4-bfSZB5Q1OyP9JDA"
